# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7945263068274488,4.981368055476891,-45.18862765480739,0,3.0,1178.3981698219159,180.0,0.0,0.0
 0.011883446427379013,1.794675595410575,4.981217780675525,-45.18862765480739,0.03565033928213704,3.0,1178.3981698219159,180.0,2460.0536417010544,0.0
 0.021475165610022794,1.7951218644906155,4.981041157962169,-21.59248394937069,0.06442549683006837,2.999999999999999,175.7241469458639,180.0,646.6407052471507,0.0
 0.031196936760783254,1.7958627190635625,4.980838399819982,-15.305990996191543,0.09359081028234975,2.9999999999999996,53.97322220051954,180.0,288.9235306769926,0.0
 0.0409709389870686,1.796895764125409,4.980609718732128,-12.482051764128395,0.12291281696120579,3.0000000000000004,23.170698363491145,180.0,163.08115251323687,0.0
 0.05076091599318436,1.7982186046721478,4.980355327181766,-10.88549103089295,0.15228274797955305,2.999999999999998,11.999781818518178,180.0,104.70678497963044,0.0
 0.060549653920975166,1.7998288456997713,4.980075437652058,-9.860543753465803,0.1816489617629255,3.0000000000000027,7.004965131347855,180.0,72.93854026307321,0.0
 0.07032804086421093,1.8017240922042719,4.9797702626261655,-9.147322483698693,0.21098412259263283,3.0000000000000027,4.443210578478302,180.0,53.748962338298234,2.9112379624208827e-12
 0.08009079808202679,1.8039019491816424,4.979440014587249,-8.622584413680357,0.2402723942460804,3.0,2.9954376328486245,180.00000000000003,41.272206524984405,-2.9168886612505963e-12
 0.08983464254478335,1.8063600216278755,4.97908490601847,-8.220434452666144,0.2695039276343501,3.0000000000000027,2.1158454535871027,180.0,32.70330898793859,0.0
 0.09955741324731189,1.8090959145389638,4.978705149402991,-7.902467678162476,0.2986722397419357,2.9999999999999956,1.5506449513103873,180.0,26.563532652616935,0.0
 0.10925762000225105,1.8121072329109,4.978300957223971,-7.644795919290514,0.32777286000675315,3.0,1.1708545362786147,180.0,22.01313256134637,0.0
 0.11893419419183734,1.8153915817396766,4.977872541964572,-7.431784208915448,0.35680258257551206,3.0000000000000013,0.9061600197784462,180.0,18.546426849090334,0.0
 0.12858634325202195,1.8189465660212862,4.9774201161079565,-7.252771332434219,0.3857590297560659,3.0000000000000027,0.7159890836160832,180.0,15.844086658695561,2.952255084900716e-12
 0.13821346171335228,1.8227697907517215,4.976943892137284,-7.100238433259373,0.4146403851400569,3.0000000000000027,0.5758046379929789,180.00000000000003,13.69638183047414,-2.9600973902303386e-12
 0.14781507466169935,1.8268588609269754,4.976444082535716,-6.968731076130387,0.44344522398509817,3.000000000000003,0.4701688885065103,180.0,11.960936465191963,0.0
 0.1573908005905621,1.83121138154304,4.975920899786415,-6.854196426687168,0.4721724017716864,3.0,0.3890357065052346,180.0,10.538334088419301,0.0
 0.1669403262838299,1.835824957595908,4.975374556372541,-6.753560334545568,0.5008209788514898,2.999999999999997,0.3256743093632211,180.0,9.357444388377758,0.0
 0.17646338940251963,1.8406971940815726,4.974805264777257,-6.664448801005418,0.5293901682075589,2.9999999999999942,0.2754590452195325,180.0,8.366282548631167,-2.9929003666256854e-12
 0.18595976614373663,1.8458256959960258,4.9742132374837205,-6.584999430000147,0.55787929843121,3.0000000000000058,0.23513904541064987,179.99999999999997,7.526139001004334,3.0013961562008192e-12
 0.19542926232193536,1.8512080683352605,4.973598686975096,-6.513730685493544,0.5862877869658062,3.000000000000003,0.20238380989971144,180.0,6.807707253484093,0.0
 0.20487170681006095,1.8568419160952694,4.972961825734544,-6.4494492876611105,0.614615120430183,3.0,0.17549274202824683,180.0,6.188468634149135,0.0
 0.21428694663998962,1.8627248442720452,4.972302866245225,-6.391183371290605,0.642860839919969,3.000000000000003,0.15320495117627805,180.0,5.650888182824267,0.0
 0.22367484329029852,1.86885445786158,4.971622020990301,-6.3381334170478,0.6710245298708957,2.999999999999997,0.13457199715110582,180.0,5.181146427572927,3.036369046634493e-12
 0.2330352698372318,1.8752283618598669,4.970919502452933,-6.289635676483598,0.6991058095116954,2.999999999999991,0.11887106786989313,180.00000000000003,4.768232448447544,-3.045344478721506e-12
 0.24236810874231882,1.8818441612628982,4.970195523116281,-6.245134531180228,0.7271043262269565,3.0000000000000058,0.10554468961680835,180.0,4.403285214224528,-3.0544092012857033e-12
 0.25167325011579306,1.888699461066667,4.969450295463508,-6.2041613397541395,0.7550197503473792,2.999999999999997,0.09415817910230116,179.99999999999997,4.0791084144532626,0.0
 0.2609505903399045,1.8957918662671656,4.968684031977775,-6.166318063182221,0.7828517710197136,3.000000000000012,0.0843691744557965,179.99999999999997,3.789808449898296,6.1456061127862165e-12
 0.2702000309675006,1.9031189818603866,4.9678969451422414,-6.131264454934925,0.8106000929025021,3.000000000000012,0.07590551339911455,180.00000000000003,3.5305210976259023,-3.082131236452841e-12
 0.2794214778333109,1.9106784128423229,4.9670892474400725,-6.098707942224546,0.8382644334999331,3.000000000000012,0.0685489750468296,180.0,3.297202828565415,0.0
 0.2886148403311626,1.9184677642089667,4.966261151354424,-6.0683955613926015,0.8658445209934883,3.000000000000018,0.06212318923016981,180.0,3.086469942487205,0.0
 0.2977800308217781,1.926484640956311,4.965412869368461,-6.040107476426147,0.893340092465335,3.000000000000006,0.0564845493885246,180.0,2.8954732748995835,0.0
 0.3069169641441878,1.9347266480803484,4.9645446139653435,-6.01365173017657,0.9207508924325639,2.999999999999994,0.05151531448428518,180.0,2.7217998893605846,0.0
