# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 2.856186498711349,4.9827234545343195,0.7890143547758448,0.31622357201398826,0.18833762250792888,-3.0000000000000906,0.028600828163602897,180.0,0.3093120325429094,0.0
 2.86291387529786,4.983922567748296,0.7890210164702779,0.31830443053964347,0.16815549274839775,-2.9999999999999134,0.038212387378501786,180.0,0.36958126664347823,0.0
 2.8695952072690276,4.9849790935647516,0.7890269315527885,0.32077372567241325,0.14811149683489372,-3.000000000000083,0.054056881758280224,180.0,0.4617744732301702,0.0
 2.8761994174375007,4.98589181505272,0.7890320901125988,0.32382338134406125,0.12829886632947465,-2.999999999999954,0.08247915201553109,180.0,0.613345039720464,0.0
 2.8826731873232085,4.986659515281236,0.7890364822389309,0.32779403599175183,0.10887755667235177,-2.9999999999999187,0.1397016179077481,180.0,0.8902190944798307,0.0
 2.888918545122344,4.987280977319333,0.7890400980210074,0.33335377275640077,0.09014148327494573,-2.9999999999999334,0.2760184244212592,180.0,1.4876797640238029,0.0
 2.8947413042935803,4.987754984236047,0.7890429275480503,0.34201617374623305,0.0726732057612372,-2.9999999999999285,0.7022313687324588,180.0,3.222065291204292,0.0
 2.899732206723269,4.988080319100411,0.7890449609092819,0.3580971872367198,0.057700498472172033,-2.9999999999998845,7.432515213344811,180.0,29.062476064680865,0.0
 2.9035795937157007,4.988280104948227,0.7890465994912005,0.4699117796158338,0.046158337494876744,-2.9999999999999623,311.46671987537985,180.0,160737.0778680353,6.393218296651419
 2.9046910873839664,4.988230659100605,0.7890473519443345,179.12815608546526,0.042823856490079734,-2.9999999999999627,-730.2425341582758,-179.99289397834343,-1804.2427838518404,19.42524174401133
 2.905788471042166,4.988185527238459,0.7890496001553701,177.14820953904177,0.03953170551548118,-2.9999999999998925,-956.8970618571033,-179.97157703549698,-2183.6663036431164,32.81726011214735
 2.9068709653674865,4.988144661980779,0.789053330401758,174.78440315695454,0.036284222539520065,-2.9999999999996922,-1278.286422511479,-179.936052537653,-2678.5370263939944,46.596853613964996
 2.9079381284751804,4.988108015946556,0.7890585289609482,171.92596725979465,0.033082733216437926,-3.0000000000002798,-1743.1330905694067,-179.88632609454157,-3330.399717540569,60.74989158293376
 2.9089903202459237,4.988075541754781,0.7890651821103913,168.42174808371252,0.02992615790420809,-2.9999999999998317,-2427.220333622222,-179.82240555854446,-4191.311109034997,75.14973887074486
 2.9100296390281692,4.988047192024445,0.7890732761275381,164.0656397258582,0.02680820155747144,-3.000000000000137,-3444.15035517917,-179.74430102345525,-5312.614423276161,89.39769343643694
 2.9110618379252844,4.988022919374539,0.7890827972898387,158.58196497735454,0.023711604866126463,-2.9999999999995595,-4945.825544509698,-179.65202482288552,-6700.268317784385,102.48436508687631
 2.9121003699440786,4.988002676424055,0.7890937318747434,151.62352179482295,0.020596008809743802,-2.9999999999999867,-7072.209493184176,-179.545591528317,-8224.207503706037,112.61816033747073
 2.913171010604119,4.987986415791983,0.789106066159703,142.81835084474525,0.017529535098443565,-2.864148379330467,-9762.936354461997,-179.42501794680075,-9760.03296200147,120.79419478827155
 2.9142860876054093,4.987974090097315,0.7891197864221677,131.93516255698304,0.015550966768396098,-1.7743782068486267,-12405.27705535996,-179.29032311830298,-11153.571762723297,130.41109003416864
